ID (int),Titre (str),Auteur (str),Date (int),Format (str),Genre (List(str)),Lectorat (str),Tags (List(str)),Synopsis (str)
13,Orgueil et Préjugés / Orgueil & Préjugés,Jane Austen,1821, Roman,[' Classique'], Adulte,,"Mr et Mrs Bennett ont cinq filles à marier. À l’arrivée d’un nouveau et riche voisin, la famille espère que l’une d’entre elles pourra lui plaire… Au-delà des aventures sentimentales des cinq filles Bennett, Jane Austen dépeint les rigidités de la société anglaise au tournant du XIXe siècle. Le comportement et les réflexions d’Elizabeth Bennett, son personnage principal, révèlent les problèmes auxquels sont confrontées les femmes de la gentry campagnarde pour s’assurer sécurité financière et statut social : la solution passe en effet par le mariage.Titre original : Pride and Prejudice (1813)"
14,"Twilight, tome 3 : Hésitation",Stephenie Meyer,2008, Roman,[' Fantastique'], Young Adult,"[' Adapté en film', ' Bit-lit']","""Deux futurs, deux âmes sœurs... C'était trop pour une seule personne. Je compris que ce n'était pas Edward et Jacob que j'avais essayé de réconcilier, c'étaient les deux parts de moi-même, la Bella d'Edward et la Bella de Jacob. Malheureusement, elles ne pouvaient coexister et j'avais eu tort de tenter de les y contraindre. A présent, je ne doute pas de ce que je désire, ni de ce dont j'ai besoin... ni de ce que je vais faire, là, maintenant.""Titre original : Eclipse (2007)"
15,"Walking dead, tome 02 : Cette vie derrière nous",Robert Kirkman et Charlie Adlard,2007, Comics,[' Horreur'], Adulte,,"Un fléau a transformé les morts en zombies errants à la recherche des derniers humains pour s'en repaître. Un groupe de rescapés, menés par Rick - ancien policier de son état - tente de s'en sortir dans ce monde devenu fou où une seule règle prévaut dorénavant : survivre à tout prix. Fuyant les zones urbaines infestées, les rescapés trouvent refuge dans une ferme aux ressources providentielles, mais qui recèle également de nouveaux dangers.Titre original : The Walking Dead, book 2: Miles Behind Us (2004)"
16,"Les Serments et l'Honneur, tome 1 : Soeurs de Sang",Mercedes Lackey,1995, Roman,[' Fantasy'], Adulte,,"Une magicienne et une guerrière ivre de vengeance vont unir leurs forces pour faire régner la justice. Tarma, la guerrière, est la seule survivante de son clan et elle a juré de venger les siens. Kethry, la magicienne, a échappé à l'esclavage en prenant refuge auprès de l'école de magie de l'Ordre des Vents Blancs et a juré de consacrer ses dons à la défense du bien. Mais l'âme de Kethry est liée à celle d'une épée fabuleuse nommée Besoin. Et en échange des pouvoirs qu'elle procure, l'arme exige que sa porteuse vienne en aide à toutes les femmes en détresse. Tarma et Kethry seront-elles un jour libérées de leurs voeux ? Et la quête périlleuse qu'elles entreprennent ensemble suffira-t-elle à accomplir leur destin ?Titre original : The Oathbound (1988)"
17,L'affaire Jane Eyre,Jasper Fforde,2004, Roman,[' Science-Fiction'], Adulte,[' Uchronie'],"Dans le monde de Thursday Next, la littérature fait quasiment office de religion. À tel point qu'une brigade spéciale a dû être créée pour s'occuper d'affaires aussi essentielles que traquer les plagiats, découvrir la paternité des pièces de Shakespeare ou arrêter les revendeurs de faux manuscrits. Mais quand on a un père capable de traverser le temps et un oncle à l'origine des plus folles inventions, on a parfois envie d'un peu plus d'aventure.Titre original : The Eyre Affair (2001)"
18,"Jaz Parks, tome 1 : Jaz Parks s'en mord les doigts",Jennifer Rardin,2008, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Je m'appelle Jaz Parks. Mon patron, Vayl, est né en 1744 en Roumanie, où il est... mort. Entre les mains de son épouse, qui plus est. Une vampire. Mais c'est de l'histoire ancienne. Pour l'heure, Vayl travaille à la CIA, où il exerce son plus grand talent... celui d'assassin. Moi? Je l'aide. Evitez de me traiter d'assistante, ou je vous en colle une. Vayl et moi devons éliminer un chirurgien esthétique de Miami lié au terrorisme. Mais notre mission se complique lorsqu'on découvre qu'il est de mèche avec un salopard aux pouvoirs surnaturels capables de mettre l'Amérique à genoux...Titre original : Once Bitten, Twice Shy (2007)"
19,"Jaz Parks, tome 2 : Jaz Parks mord la poussière",Jennifer Rardin,2009, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Je m'appelle Jaz Parks. J'ai plusieurs cordes à mon arc : assassin pour le compte de la CIA, ceinture noire de taekwondo, danseuse du ventre... OK, la dernière, c'est juste une couverture pour ma mission actuelle: récupérer un prototype d'armure issu de la biotechnologie, en tuant le maniaque qui l'a volé. A savoir Chien-Lung, un vampire obsédé par les dragons et invulnérable tant qu'il porte cette cuirasse dernier cri... c'est-à-dire en permanence. Et puis il y a les Pillards, des monstres venus de la nuit des temps qui tuent des innocents pour dévorer leur âme. Le seul hic, c'est que je peux détecter leur présence. Alors eux non plus ne vont pas tarder à vouloir... ma mort.Titre original : Another One Bites the Dust (2007)"
20,"Les Soeurs de la lune, tome 01 : Witchling",Yasmine Galenorn,2009, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Nous sommes les sœurs D'Artigo : mi-humaines, mi-fées, agents de la CIA d'Outremonde. Etre une fée dans votre monde confère bien des avantages : nous sommes plutôt bien perçues, contrairement à nos congénères un peu moins, disons... sexy. Malheureusement, notre ascendance nous joue parfois des tours. Quand elle panique, ma sœur Delilah se transforme en chat. Menolly, elle, est un vampire qui tente de s'adapter à sa condition. Quant à moi ? Je suis Camille... une sorcière. Sauf que ma magie est aussi imprévisible que la météo, et ça, mes ennemis vont l'apprendre à leurs dépens !Titre original : Otherworld / Sisters of the moon, book 01: Witchling (2006)"
21,"Les Soeurs de la lune, tome 02 : Changeling",Yasmine Galenorn,2009, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Nous sommes mes soeurs d'Artigo : mi-humaines, mi-fées, agents de la CIA d'Outremonde. Ma soeur Camille est une sorcière. Menolly, elle, est un vampire. Moi ? Je m'appelle Delilah et dans les situations stressantes j'ai tendance à me transformer en chat. En parlant de stress : Zachary Lionnesse, le représentant de la troupe des pumas, nous a engagées pour trouver le coupable d'une série de meurtres qui frappe les siens. On a tout de suite compris que cette bonne vieille Ombre Ailée se cachait derrière tout ça. Notre job sera donc de découvrir pourquoi. Mais le sang humain qui coule dans nos veines va nous faire courir un danger mortel. On ne m'y reprendra plus à passer la patte derrière mon oreille !Titre original : Otherworld / Sisters of the Moon, book 02: Changeling (2007)"
22,"Les Soeurs de la lune, tome 03 : Darkling",Yasmine Galenorn,2009, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Nous sommes les soeurs D'Artigo : mi-humaines, mi-fées, agents qualifiés et sexy de la CIA d'Outremonde. Quand elle est stressée, Delilah se transforme en chat. La magie de ma soeur Camille est aussi imprévisible que la météo de Seattle. Moi ? Je suis Menolly, une acrobate devenue vampire et je donnerais ma canine droite pour me venger de mon Sire.Partout dans Seattle, des humains disparus réapparaissent avec des canines plus longues que nature : signe queun vampire renégat se promène dans les parages. Tout porte à croire que Dredge, celui qui est à leorigine de mes cicatrices, y est pour quelque chose et qu'il s'est allié à l'Ombre Ailée. Si c'est le cas, la Terre et d'Outremonde sont dans de sales draps !Titre original : Otherworld / Sisters of the Moon, book 03: Darkling (2007)"
23,"Mercy Thompson, tome 02 : Les liens du sang",Patricia Briggs,2009, Roman,[' Fantasy'], Adulte,"[' Fantasy urbaine', ' Bit-lit']","""Grâce à la science, les bûchers de sorcières, ordalies et autres lynchages publics appartiennent au passé. En contrepartie, le citoyen modèle, rationnel et respectueux de la loi, n'a pas à s'inquiéter des créatures qui errent dans la nuit. Je voudrais parfois être l'un de ces citoyens modèles...""La mécanicienne auto Mercedes Thompson a des amis un peu partout... y compris dans des tombeaux. Et elle doit une faveur à l'un d'entre eux. Pouvant changer de forme à volonté, elle accepte de prêter main-forte à son ami vampire Stefan pour remettre un message à un autre mort-vivant. Mais ce vampire inconnu est loin d'être ordinaire... tout comme le démon qui le possède.Titre original : Mercedes Thompson, book 2: Blood Bound (2007)"
24,"Mercy Thompson, tome 03 : Le baiser du fer",Patricia Briggs,2009, Roman,[' Fantasy'], Adulte,"[' Fantasy urbaine', ' Bit-lit']","""Je retroussai mes babines pour lui donner une bonne vue de mes crocs. J'avais beau ne pas peser plus de quinze kilos sous ma forme de coyote, j'étais néanmoins un prédateur...""La forme de Mercy Thompson est peut-être changeante, mais ce n'est pas le cas de sa loyauté. Lorsque son ancien patron et mentor est arrêté pour meurtre et abandonné par les siens, Mercy est la seule à vouloir l'innocenter, qu'il le veuille ou non.Le coeur de Mercy , quant à lui, est à l'image de la nature de sa propriétaire : partagé. il balance entre deux loups-garous. Or, ces derniers ne sont pas réputés pour leur patience, et si elle ne parvient pas à faire un choix, Sam et Adam s'en chargeront peut-être pour elle...Titre original : Mercedes Thompson, book 3: Iron Kissed (2008)"
25,"Faërie, la colline magique / Faërie : La colline magique / Faërie",Raymond E. Feist,1989, Roman,"[' Fantasy', ' Horreur']", Adulte,,"La vieille ferme isolée dans les bois les avait séduits. La maison était splendide et étrange. Phil et Gloria pensaient trouver le calme après la vie agitée d'Hollywood derrière les portes des maisons anciennes, sous les ponts perdus au fond des bois, se cachent souvent des êtres magiques, des forces obscures, et la maison du vieux Kessler ne fait pas exception. Les enfants du couple sont les premiers à y être sensibles. D'abord les jumeaux, qui y voient la présence des fées et du vieux peuple des légendes ; ensuite leur fille, dont la beauté attise le désir d'êtres plus inquiétants... Jusqu'à ce qu'ils deviennent tous les jouets de puissances inconnues, des pions dans une guerre éternelle et sanglante.Titre original : Faerie Tale (1988)"
27,"Harry Potter, tome 2 : Harry Potter et la chambre des secrets",J. K. Rowling,1999, Roman,[' Fantasy'], Adolescence,[' Adapté en film'],"Une rentrée fracassante en voiture volante, une étrange malédiction qui s'abat sur les élèves, cette deuxième année à l'école des sorciers ne s'annonce pas de tout repos ! Entre les cours de potion magique, les matchs de Quidditch et les combats de mauvais sorts, Harry trouvera-t-il le temps de percer le mystère de la Chambre des Secrets ? Un livre magique pour sorciers confirmés.Titre original : Harry Potter, book 2: Harry Potter and the Chamber of Secrets (1998)"
28,Les grandes espérances du jeune Bedlam,George Hagen,2008, Roman,[' Contemporaine'], Adulte,,"Ni ses origines obscures, ni son enfance passée dans les misérables faubourgs de Londres n'ont entamé l'optimisme de Tom Bedlam. A la mort de sa mère, un mystérieux bienfaiteur offre de payer ses études. Pour un gamin plus habitué à la débrouille et à l'usine, l'occasion est trop belle. Du lugubre pensionnat de Hammer Hall jusqu'aux confins de l'Empire britannique, Tom poursuit son apprentissage de la vie, mais n'en reste pas moins hanté par un passé morcelé. Orages, coups du sort, révélations, l'aventure familiale continue au fil d'existences ballottées par la marche irréversible du siècle... Après La Famille Lament, George Hagen réussit, une fois de plus, à créer des personnages drôles et désarmants, qui n'en finiront pas de nous hanter.Titre original : Tom Bedlam (2007)"
29,Dracula,Bram Stoker,1919, Roman,"[' Classique', ' Fantastique']", Adulte,[' Épistolaire'],"Répondant à l'invitation du conte Dracula qui prépare son prochain voyage en Angleterre, Jonathan Harker découvre à son arrivée dans les Carpates un pays mystérieux. Un pays aux forêts ténébreuses et aux montagnes menaçantes. Un pays peuplé de loups dont les habitants se signent au nom de Dracula. Malgré la bienveillance de son hôte, le jeune clerc ne peut qu'éprouver une angoisse grandissante. Ce comte, qui contrôle son courrier et verrouille les portes de son château, ne se reflète pas dans les miroirs et se déplace sur les murs en défiant les lois de l'apesanteur...Jonathan Harker doit se rendre à la terrifiante évidence : il est prisonnier d'un homme qui n'est pas un homme. Et qui partira bientôt hanter les nuits de Londres...Titre original : Dracula (1897)"
30,"Anita Blake, tome 01 : Plaisirs coupables",Laurell K. Hamilton,2002, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Mon nom est Blake, Anita Blake. Les vampires, eux, m'appellent ""l'Exécutrice"" et par égard pour les oreilles les plus chastes, je ne vous dirai pas comment, moi, je les appelle. Ma spécialité, au départ, c'était plutôt les zombies. Je relève les morts à la nuit tombée pour une petite PME. Ce n'est pas toujours très exaltant et mon patron m'exploite honteusement, mais quand on a un vrai don, ce serait idiot de ne pas s'en servir. Tuer des vampires, c'est autre chose, une vieille passion liée à des souvenirs d'enfance. Depuis qu'ils sont officiellement reconnus et ont pignon sur rue, ils se croient tout permis. Certes, il yen a de charmants, voire très sexy, mais il y en a aussi qui abusent. Ceux-là je les élimine. Rien de tel pour garder la forme : ça vous fouette le sang !Titre original : Anita Blake, Vampire Hunter, book 01: Guilty Pleasures (1993)"
31,"Anita Blake, tome 02 : Le cadavre rieur",Laurell K. Hamilton,2002, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Savez-vous ce que c'est qu'une ""chèvre blanche""? Eh bien, en jargon vaudou, c'est un doux euphémisme pour désigner la victime d'un sacrifice humain. Et quand ces types sont venus me demander de relever un mort de deux cents ans et des poussières, j'ai tout de suite compris ce que ça impliquait. Je veux bien égorger des poulets, un mouton, voire un buffle dans les cas désespérés... mais ça, non! Pas question... Mais je les ai envoyés promener, eux et leur chèque d'un million de dollars. L'ennui, c'est que tout le monde n'a pas mon sens moral. Que ces salauds vont bien dégoter quelqu'un pour faire le boulot. Qu'on va se retrouver avec un mort-vivant raide dingue, tout sauf végétarien, et semant la panique. Et que c'est encore la petite Anita qui va devoir se le coltiner! Comme si je n'avais pas déjà assez de problèmes avec les vampires...Titre original : Anita Blake, Vampire Hunter, book 02: Laughing Corpse (1994)"
32,"Anita Blake, tome 03 : Le cirque des damnés",Laurell K. Hamilton,2002, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Je vous le dis franchement : je stresse! Nous vivons vraiment clans un univers IM-PI-TOYABLE ! Prenez par exemple Jean-Claude, propriétaire, entre autres, du Cirque des Damnés, une boîte branchée des plus rentables. Eh bien, il n'est entouré que de gens qui veulent soit lui faire la peau, soit prendre sa place, voire les deux. Tous des vampires, bien sûr, avec des dents qui rayent le parquet. Vous me direz que, même s'il a le sens de l'humour, J.-C., lui aussi est un vampire et que sa principale ambition semble être de faire de moi son esclave. Peut-être finalement devrais-je laisser les loups-garous et autres se dévorer entre eux. Et plutôt me consacrer à empêcher mes chers zombies de nuire...Titre original : Anita Blake, Vampire Hunter, book 03: Circus of the Damned (1995)"
33,"Anita Blake, tome 04 : Lunatic café",Laurell K. Hamilton,2002, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"On dirait que je le fais exprès. Je suis tombée amoureuse du chef de meute local. Non, pas un louveteau. Un loup-garou, bien sûr ! Maintenant, il y a des tas de filles dans ma tranche d'âge qui n'arrivent pas à se dégotter un petit ami. Et c'était mon cas avant Richard. Certes, Jean-Claude, mon vampire préféré, ne demanderait pas mieux, mais son côté possessif a tendance à me démotiver. Même si c'était un homme ordinaire, j'aurais déjà du mal à imaginer une vie de couple avec lui. Côté sexe, ça oui : no problemo, je vois très bien, mais sortir... Aller au restaurant, au spectacle, fréquenter ses amis. Franchement non ! On a beau être dans une histoire d'horreur, il y a des limites !Titre original : Anita Blake, Vampire Hunter, book 04: The Lunatic Cafe (1996)"
34,"Anita Blake, tome 05 : Le squelette sanglant",Laurell K. Hamilton,2003, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Bert, mon boss, a encore eu une de ces idées de tarés dont il a le secret : relever tout un cimetière de morts très anciens qui ne demandaient rien à personne. D'accord, c'est probablement un gros contrat qui devrait arranger la comptabilité de la boîte et pour une réanimatrice comme moi, il faut bien reconnaître que c'est plutôt valorisant. Bref, je vais sur place, où mon intervention est censée régler un conflit entre un promoteur et une vieille famille locale. À peine arrivée, je découvre qu'un tueur en série, nécrophile, nécrophage ou je ne sais quoi fait des ravages dans le coin. Sûrement un de mes vieux copains. Il y a des moments où l'on aurait envie de changer d'air!Titre original : Anita Blake, Vampire Hunter, book 05: Bloody Bones (1996)"
35,"Anita Blake, tome 06 : Mortelle séduction",Laurell K. Hamilton,2004, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"A ma gauche, Richard. Le mec le plus adorable du monde : brun aux yeux chocolat, prof de sciences. Seul problème : une fois par mois, il se couvre de poils et hurle à la lune. A ma droite, Jean-Claude. Le mec le plus horripilant du monde : un regard bleu marine hypnotique, et un magnétisme sexuel démentiel. Seul problème : il a plus de deux siècles. Face à moi, un immortel atteint par une mystérieuse maladie qui le liquéfie sur pattes. Et quelque part derrière moi, un assassin à qui un commanditaire inconnu a promis un demi-million de dollars s'il réussissait à m'abattre dans les vingt-quatre heures. Que dit la sagesse populaire déjà ? "" Il vaut mieux être seule que... ""Titre original : Anita Blake, Vampire Hunter, book 06: The Killing Dance (1997)"
36,"Anita Blake, tome 07 : Offrande brûlée",Laurell K. Hamilton,2004, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Un malheur n'arrive jamais seul. La preuve ? En l'espace de vingt-quatre heures, je découvre que des envoyés du Conseil vampirique viennent de débarquer en ville, et que de mystérieux pyromanes ont mis tous les repaires de monstres locaux à feu et à sang. Sans oublier que j'hérite d'une famille de métamorphes orphelins de chef, et que mon ex qui a toujours une dent contre moi n'en finit plus de me mener la vie dure. Parfois, j'ai vraiment envie de tous les envoyer bouler. Mais le pourrais-je encore ? Désormais, il semble que mon existence soit inextricablement liée à celle des créatures que je m'étais juré de combattre. Jusqu'où cela va-t-il m'entraîner ? Franchement, je préfère ne pas y penser...Titre original : Anita Blake, Vampire Hunter, book 07: Burnt Offerings (1998)"
37,"Anita Blake, tome 08 : Lune bleue",Laurell K. Hamilton,2005, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Richard, mon ex-fiancé et chef de la meute de loups-garous locale, était en train d'étudier les trolls dans le Tennessee quand il s'est fait arrêter pour tentative de viol. D'accord, nous ne sommes pas en très bons termes depuis que je l'ai plaqué pour Jean-Claude, le vampire qui me courait après depuis une éternité. Mais tout de même, je connais bien Richard. Je sais qu'il ne ferait jamais une chose pareille. Je flaire comme une machination, et déjouer les machinations, c'est mon passe-temps favori quand je ne suis pas en train de relever les morts. Donc, cap sur le Tennessee pour aller délivrer Richard. Le seul problème, c'est que je ne sais pas comment Jean-Claude va réagir. Enfin, quand je dis le seul problème... Je suis sûre que ça ne le restera pas longtemps.Titre original : Anita Blake, Vampire Hunter, book 08: Blue Moon (1998)"
38,"Anita Blake, tome 09 : Papillon d'obsidienne",Laurell K. Hamilton,2006, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Depuis que mon métier d'exécutrice de vampires m'amène à me colleter avec des méchants de tout poil, Edward est un peu mon Batman : il débarque en ville, il me sauve la mise et il disparaît. Le reste du temps, c'est un assassin si froid et si dangereux qu'on l'a surnommé La Mort. Mais j'ai une dette envers lui. Et quand il m'appelle en renfort dans une mystérieuse affaire de meurtres en série, me voilà dans le premier avion pour le Nouveau-Mexique. Où je ne tarde pas à découvrir que mon adversaire de la semaine est peut-être un dieu d'un panthéon oublié... rien que ça ! Mais le plus étonnant, c'est quand même d'apprendre qu'Edward est sur le point de se marier !...Titre original : Anita Blake, Vampire Hunter, book 09: Obsidian Butterfly (2000)"
39,"Anita Blake, tome 10 : Narcisse enchaîné",Laurell K. Hamilton,2009, Roman,[' Fantasy'], Adulte,[' Bit-lit'],"Les hommes resteront toujours des hommes. Jean-Claude et Richard sont quelque chose de très différent. Depuis des mois, je les évite pour tenter de remettre de l'ordre dans ma tête. Mais lorsque des métamorphes fraîchement débarqués à Saint Louis enlèvent mes léopards pour les torturer, je n'ai pas d'autre choix que d'appeler au secours les deux mâles de ma vie. Seul problème : pour m'aider, ils ont besoin que nous fusionnions nos pouvoirs, ce que je me refuse à faire depuis le début. J'ai toujours redouté les conséquences... et la suite des événements prouvera que j'avais bien raison !Titre original : Anita Blake, Vampire Hunter, book 10: Narcissus in chains (2001)"
40,American Gods,Neil Gaiman,2002, Roman,"[' Fantasy', ' Mythes/Mythologie']", Adulte,[' Adapté en série télévisée'],"Dans le vol qui l'emmène à l'enterrement de sa femme tant aimée, Ombre rencontre Voyageur, un intrigant personnage. Dieu antique, comme le suggèrent ses énigmes, fou, ou bien simple arnaqueur ? Et en quoi consiste réellement le travail qu'il lui propose ? En acceptant finalement d'entrer à son service, Ombre va se retrouver plongé au sein d'un conflit qui le dépasse : celui qui oppose héros mythologiques de l'ancien monde et nouvelles idoles profanes de l'Amérique. Mais comment savoir qui tire réellement les ficelles : ces entités légendaires saxonnes issues de l'aube des temps, ou les puissances du consumérisme et de la technologie ? A moins que ce ne soit ce mystérieux M. Monde...Titre original : American Gods (2001)"
41,L'homme qui voulait vivre sa vie,Douglas Kennedy,1998, Roman,"[' Contemporaine', ' Drame']", Adulte,,"Ben Bradford a réussi. La trentaine, avocat compétent, un beau poste dans l'un des plus grands cabinets de Wall Street, un salaire à l'avenant, une femme et deux fils tout droit sortis d'un catalogue Gap. Sauf que cette vie, Ben la déteste. Il a toujours rêvé d'être photographe. Quand il soupçonne que la froideur de son épouse est moins liée à la dépression postnatale qu'à une aventure extraconjugale, ses doutes reviennent en force, et avec eux la douloureuse impression de s'être fourvoyé. Ses soupçons confirmés, un coup de folie meurtrier fait basculer son existence, l'amenant à endosser une nouvelle identité... De New York aux splendides paysages du Montana, une histoire d'humour et d'émotion, et un héros extraordinairement attachant, prêt à payer le prix pour vivre sa vie.Titre original : The Big Picture (1997)"
